naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
STREŽBA,"4,22",PIVKA,Potrebujejo polnoletno osebo za delo v prijetni in mirni kavarni v centru Pivke. Delovnik je po dogovoru. Nudijo redno plačilo. Možnost kasnejše zaposlitve.,1, PO DOGOVORU, Izmensko,288367, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",IZOLA Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285351, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",KOPER Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285350, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",JESENICE Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285349, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",RADOVLJICA Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285347, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",ŠKOFJA LOKA Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285345, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",KRANJ Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285344, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",VRHNIKA Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285343, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",GROSUPLJE Z OKOLICO,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285342, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",NOTRANJSKO KRAŠKA REGIJA,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285341, začasno in občasno delo

FIZIČNA DELA (DELO NA TERENU),"5,50",GORIŠKA REGIJA,Postavitev odra in priprava koncerta. Pogoj je starost nad 21 let. Kasneje možnost redne zaposlitve.,2, VIKENDI - ZA DLJE ČASA (OBČASNO), Med vikendom,285340, začasno in občasno delo

DELO NA BENCINSKEM SERVISU,"5,00",LJUBLJANA NOVE JARŠE,Iščejo več polnoletnih oseb za delo na bencinskem servisu (večinoma delo na blagajni; zelo malo pa delo v avtopralnici). Urna postavka je začetna.,3, DLJE ČASA (OBČASNO), Izmensko,282476, začasno in občasno delo

POMOČ V KUHINJI (POMIVALEC),"4,65",PORTOROŽ,POMIVALEC.,2, DLJE ČASA (OBČASNO), Po dogovoru,282384, začasno in občasno delo

STREŽBA,"5,50",LJUBLJANA,Za pomoč v strežbi podjetje išče osebo s smislom za gostinstvo. Delovnik je stvar dogovora (lokal obratuje od 8. do 21. ure). Nudijo možnost dolgotrajnega sodelovanja in kasnejše redne zaposlitve. Redno in stimulativno plačilo.,2, PO DOGOVORU, Po dogovoru,282344, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA-ŠIŠKA,"Iščejo prijetno osebo, da se pridruži njihovemu kolektivu pri delu v manjšem lokalu. Pogoj je polnoletnost.",1, PO DOGOVORU, Po dogovoru,282246, začasno in občasno delo

STREŽBA,"5,00",CELJE,Prijetna kavarna v nakupovalnem središču išče osebo za samostojno delo v strežbi. Pogoj je starost nad 18 let in izkušnje.,1, DLJE ČASA (OBČASNO), Po dogovoru,282226, začasno in občasno delo

POMOČ V STREŽBI,"4,99",KOMEN,"Pomoč v strežbi, priprava napitkov, lažje čiščenje ipd. Delo poteka po dogovoru. Urna postavka se lahko zviša - po dogovoru.",3, PO DOGOVORU, Izmensko,282191, začasno in občasno delo

STREŽBA,"5,00",LOGATEC,"Podjetje išče prijazno in komunikativno osebo za strežbo v prijetnem lokalu. Pomoč potrebujejo med vikendi oziroma tudi med tednom (po dogovoru).  Pogoji: polnoletnost, smisel za delo z ljudmi, poštenost, urejenost in lasten prevoz. Zaželene so izkušnje, niso pa pogoj. Prijave sprejemajo na telefon ali e-naslov.",2, DLJE ČASA (OBČASNO), Izmensko,282107, začasno in občasno delo

STREŽBA,"5,07",ROGAŠKA SLATINA,Iščejo kandidata/ko za strežbo pijač in narezkov. Delovnik je po dogovoru.,1, DLJE ČASA (OBČASNO), Med vikendom,282006, začasno in občasno delo

KLICNI CENTER,"5,50",LJUBLJANA,Delo v klicnem centru. Plačilo je urna postavka + stimulacija od prometa.,3, DLJE ČASA (OBČASNO), Popoldan,281775, začasno in občasno delo

POUČEVANJE,"9,00",ŠKOFJA LOKA Z OKOLICO,Podjetje išče več študentov 1. ali. 2. stopnje nemškega jezika za poučevanje nemščine za odrasle na območju Škofje Loke. Zaželene so izkušnje pri poučevanju odraslih. Prijave s priloženim življenjepisom sprejemajo na e-mail.,3, PO DOGOVORU, Popoldan,281733, začasno in občasno delo

BLAGAJNIK,"4,65",LJUBLJANA BTC,"Delo na blagajni. Pogoj je starost nad 18 let. Med tednom in v soboto je urna postavka 5,5 Ă˘Â‚Â¬ bruto, v nedeljo pa 6 Ă˘Â‚Â¬ bruto.",1, DLJE ČASA (OBČASNO), Izmensko,271147, začasno in občasno delo

POMOČ V STREŽBI,"5,00",LJUBLJANA,"Iščejo prijazno, komunikativno, pošteno, resno in natančno osebo za delo v manjšem caffe baru v Štepanjskem naselju. Delo se izvaja izmensko oziroma bolj v popoldanskem času. Večinoma med vikendom.  Zaželene izkušnje v strežbi.",2, DLJE ČASA (OBČASNO), Po dogovoru,271075, začasno in občasno delo

STREŽBA (TOČAJ-KA),"5,07",DOLENJSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo.,12, PO DOGOVORU, Po dogovoru,270843, začasno in občasno delo

TRŽENJE,"5,07",ŠTAJERSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo.,12, PO DOGOVORU, Po dogovoru,270842, začasno in občasno delo

TRŽENJE,"5,07",LJUBLJANA Z OKOLICO,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo.,12, PO DOGOVORU, Dopoldan,270841, začasno in občasno delo

TRŽENJE,"5,07",GORENJSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo.,12, PO DOGOVORU, Po dogovoru,270835, začasno in občasno delo

DELO V IGRALNICI (BILJETER),"4,22",NOVA GORICA,"BILJETER v drive-in igralnici. Evidentiranje gostov, izdaja vstopnic, kontrola. Pogoja sta znanje italijanskega jezika in polnoletnost. Delo poteka vse dni v tednu - popoldan in ponoči. Urna postavka se giblje med od 5 do 5,5 Ă˘Â‚Â¬ bruto.",1, DLJE ČASA (OBČASNO), Izmensko,270054, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA ZALOG,Strežba. Zaželene so delovne izkušnje v šanku. Nedelje so proste. Delo se opravlja v večini v dopoldanskem času. Urna postavka se glede na rezultate dela lahko tudi poveča.,2, PO DOGOVORU, Izmensko,269542, začasno in občasno delo

