naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
NOVINARSKA DELA,"6,34",CERKNO,Moderiranje programa. Delo pred mikrofonom.,1, PO DOGOVORU, Med vikendom,308175, začasno in občasno delo

NEGOVANJE,"5,00",LOGATEC,"Iščejo polnoletno osebo za izvajanje pomoči na domu. Pogoji: zanesljivost, vozniški izpit B kategorije, veselje do dela s starejšimi in izkušnje iz zdravstvene nege.",1, DLJE ČASA (OBČASNO), Dopoldan,308171, začasno in občasno delo

POUČEVANJE,"10,00",LJUBLJANA,Iščejo naravne govorce angleščine za poučevanje angleščine v podjetjih. Prednost imajo študenti višjih letnikov.,3, DLJE ČASA (OBČASNO), Po dogovoru,307974, začasno in občasno delo

DELO Z OTROKI,"6,00",JESENICE,"Iščejo polnoletno osebo za pomoč trenerju ritmične gimnastike. Želeno je, da si prej treniral/a  kakšen šport. Zaradi narave dela (ritmična gimnastika) potrebujejo osebo ženskega spola. Prijavo pošlji e-mail .",1, DLJE ČASA (OBČASNO), Popoldan,307973, začasno in občasno delo

DELO V SKLADIŠČU,"5,00",LJUBLJANA DOBRUNJE,Podjetje potrebuje polnoletnega kandidata za delo v skladišču z rezervnimi avtomobilskimi deli. Pogoji: zanesljivost in natančnost. Pokliči.,1, DLJE ČASA (OBČASNO), Izmensko,307969, začasno in občasno delo

KOMERCIALNA DELA (TEHNIČNA POMOČ),"5,07",LJUBLJANA,"Podjetje išče polnoletne osebe za delo v komerciali in za tehnično pomoč. Želijo kandidate, ki so željni novega znanja, ki jih zanima oz. imajo osnovno znanje risanja v AvtoCAD-u (možnost priučitve). Zaželena tehnična smer izobrazbe, ni pa pogoj. Nudijo možnost redne zaposlitve. Prijavo pošlji na e-mail.",3, DLJE ČASA (OBČASNO), Dopoldan,307967, začasno in občasno delo

STREŽBA,"4,99",LJUBLJANA,"Nudijo delo v prijetni kavarni med spoštljivim in prijetnim kolektivom. Če si urejen/a, komunikativen/na in te veseli delo z ljudmi, te z veseljem sprejmejo na razgovor. Izkušnje so zaželene, niso pa nujne.",2, DLJE ČASA (OBČASNO), Izmensko,307966, začasno in občasno delo

DELO V PROIZVODNJI,"4,13",JESENICE,"Podjetje išče osebe za zavijanje izdelkov, pakiranje v škatle, izdelovanje škatel, luščenje zaščitne folije z izdelkov, luščenje nalepk, lepljenje nalepk in izdelkov. Pogoj je starost nad 18 let.",5, DLJE ČASA (OBČASNO), Dopoldan,307963, začasno in občasno delo

STREŽBA,"5,00",HOČE-SLIVNICA,"Podjetje potrebuje osebo za strežbo. Pogoji: starost nad 18 let, izkušnje pri delu v strežbi in lasten prevoz.",1, DLJE ČASA (OBČASNO), Izmensko,307962, začasno in občasno delo

